FLIGHT_ID,CALLSIGN,OPERATOR,ICAO_ACTYPE,ADEP,DEST,TAS,RFL,TYPE_OF_TRANSPONDER,Date_Added,RUNWAY,GATE,STACK
21520048,TFL194,TFL,B763,LGKO,EHAM,457,380.0,L,2023-11-27,36R,D10,ARTIP
21520049,KLM44M,KLM,E190,EGLC,EHAM,460,210.0,H,2023-11-27,36R,A74,SUGOL
21520050,KLM56T,KLM,E190,EPWR,EHAM,446,400.0,H,2023-11-27,36R,B31,ARTIP
21520052,KLM1086,KLM,E75L,EICK,EHAM,450,390.0,L,2023-11-27,36C,A64,SUGOL
21520053,TRA82X,TRA,B738,LEZL,EHAM,444,380.0,L,2023-11-27,36C,D57,RIVER
21520054,THY7BD,THY,B738,LTFJ,EHAM,451,380.0,L,2023-11-27,36R,G02,ARTIP
21520061,GTI8187,GTI,B744,EHAM,RKSI,489,330.0,L,2023-11-27,,,
21520062,TRA916K,TRA,B738,LGKO,EHEH,374,380.0,L,2023-11-27,21,S2,
21520063,EZY26TZ,EZY,A319,EHAM,EGGW,352,240.0,L,2023-11-27,,,
21520065,WZZ6NY,WZZ,A321,EHEH,LROP,447,350.0,L,2023-11-27,,,
21520066,TRA1F,TRA,B738,LEMG,EHAM,447,380.0,L,2023-11-27,36R,D47,RIVER
21520069,TRA16Y,TRA,B738,GCFV,EHAM,446,380.0,L,2023-11-27,36R,D05,RIVER
21520070,MEA200,MEA,A320,EHAM,OLBA,451,350.0,L,2023-11-27,,,
21520071,KLM80A,KLM,E190,LKPR,EHAM,447,400.0,H,2023-11-27,36R,B27,ARTIP
21520072,VLG59UN,VLG,A20N,EHAM,LEBL,445,350.0,L,2023-11-27,,,
21520073,KLM1566,KLM,E75L,LIMJ,EHAM,392,360.0,L,2023-11-27,36C,A46,RIVER
21520077,KLM1574,KLM,B737,LGAV,EHAM,450,380.0,L,2023-11-27,36R,D43,ARTIP
21520078,KLM1804,KLM,E190,LDDU,EHAM,452,380.0,H,2023-11-27,36R,A75,ARTIP
21520079,KLM1942,KLM,B737,LDZA,EHAM,446,400.0,L,2023-11-27,36R,D41,ARTIP
21520080,TAM9557,TAM,B77W,EHAM,SBBR,484,330.0,E,2023-11-27,,,
21520082,JEI474,JEI,LJ35,LGIR,EHAM,435,380.0,S,2023-11-27,04,GL,ARTIP
21520083,GAC178U,GAC,C510,EHRD,LEBL,289,270.0,S,2023-11-27,,,
21520084,TRA93E,TRA,B738,EHEH,LPPT,436,330.0,L,2023-11-27,,,
21520086,KLM33Y,KLM,E295,EHAM,ENBR,434,380.0,L,2023-11-27,,,
21520087,KLM1829,KLM,E295,EHAM,EDDB,435,390.0,L,2023-11-27,,,
21520088,KLM58H,KLM,E190,EGCC,EHAM,460,330.0,H,2023-11-27,36R,A72,SUGOL
21520091,KLM1512,KLM,E190,LEVC,EHAM,450,380.0,H,2023-11-27,36C,A34,RIVER
21520092,EJU86NC,EJU,A319,LIRN,EHAM,408,300.0,L,2023-11-27,36R,H01,ARTIP
